CP,region,code,Local_athority,S Ref E,S Ref N,S Ref Latitude,S Ref Longitude,Road,Road.Name,RCat,CP.Location
931428,East Midlands,NULL,Nottinghamshire,461170,342360,52.97511191,-1.090504565,U,NULL,UU,NULL
931429,East Midlands,NULL,Nottinghamshire,469650,339710,52.9502616,-0.964810551,U,NULL,UR,NULL
931430,East Midlands,NULL,Nottinghamshire,470060,381890,53.32929909,-0.949503093,U,NULL,UU,NULL
931431,East Midlands,NULL,Nottinghamshire,459080,378240,53.29783141,-1.115024084,U,NULL,UU,NULL
931432,East Midlands,NULL,Nottinghamshire,459180,381090,53.32343497,-1.11299322,U,NULL,UU,NULL
931433,East Midlands,NULL,Nottinghamshire,460809,370589,53.22887184,-1.090545438,C,NULL,CR,NULL
931434,East Midlands,NULL,Nottinghamshire,454230,363880,53.16928255,-1.190223663,U,NULL,UU,NULL
931435,East Midlands,NULL,Nottinghamshire,452950,349670,53.04168951,-1.211707327,U,NULL,UU,NULL
931436,East Midlands,NULL,Nottinghamshire,460623,357442,53.11073068,-1.09581807,U,NULL,UR,NULL
931437,East Midlands,NULL,Nottinghamshire,462780,391510,53.41666966,-1.056888507,U,NULL,UR,NULL
931438,East Midlands,NULL,Nottinghamshire,483470,361930,53.1479834,-0.75342076,U,NULL,UR,NULL
931439,East Midlands,NULL,Nottinghamshire,461260,349260,53.03711897,-1.087858377,U,NULL,UR,NULL
931440,East Midlands,NULL,Nottinghamshire,458610,343800,52.98834028,-1.128362767,U,NULL,UU,NULL
931441,East Midlands,NULL,Nottinghamshire,453890,336750,52.92546686,-1.199836795,U,NULL,UU,NULL
931442,East Midlands,NULL,Nottinghamshire,447340,353360,53.07538147,-1.294831355,U,NULL,UU,NULL
931443,East Midlands,NULL,Nottinghamshire,451050,356540,53.10362319,-1.238955258,U,NULL,UU,NULL
931444,East Midlands,NULL,Nottinghamshire,478550,382410,53.33278223,-0.821923962,U,NULL,UR,NULL
931445,East Midlands,NULL,Nottinghamshire,464590,334910,52.90775099,-1.041062829,U,NULL,UR,NULL
931446,East Midlands,NULL,Nottinghamshire,456980,333430,52.89530736,-1.154459766,U,NULL,UU,NULL
931447,East Midlands,NULL,Nottinghamshire,454890,326230,52.8308074,-1.186733895,U,NULL,UR,NULL
931448,Yorkshire and The Humber,NULL,North Yorkshire,435620,457670,54.01382148,-1.457918001,U,NULL,UU,NULL
931449,Yorkshire and The Humber,NULL,North Yorkshire,502210,488120,54.278515,-0.431710238,C,NULL,CU,NULL
931450,Yorkshire and The Humber,NULL,North Yorkshire,502900,489680,54.29239151,-0.420581246,U,NULL,UU,NULL
931451,Yorkshire and The Humber,NULL,North Yorkshire,432300,454720,53.98752653,-1.508892074,C,NULL,CU,NULL
931452,Yorkshire and The Humber,NULL,North Yorkshire,409990,492920,54.33175229,-1.847880319,U,NULL,UR,NULL
931453,Yorkshire and The Humber,NULL,North Yorkshire,456340,510850,54.48986977,-1.13177975,U,NULL,UR,NULL
931454,Yorkshire and The Humber,NULL,North Yorkshire,510210,476580,54.17318673,-0.313131303,U,NULL,UR,NULL
931455,Yorkshire and The Humber,NULL,North Yorkshire,452980,469500,54.11864796,-1.190960063,U,NULL,UR,NULL
931456,Yorkshire and The Humber,NULL,North Yorkshire,446660,452400,53.96558286,-1.290262274,U,NULL,UR,NULL
931457,Yorkshire and The Humber,NULL,North Yorkshire,432990,465860,54.08760104,-1.497163377,U,NULL,UR,NULL
931458,Yorkshire and The Humber,NULL,North Yorkshire,400590,453350,53.97621547,-1.992493209,U,NULL,UR,NULL
931459,Yorkshire and The Humber,NULL,North Yorkshire,447400,507150,54.45753275,-1.270366299,U,NULL,UR,NULL
931460,Yorkshire and The Humber,NULL,North Yorkshire,464000,482230,54.23178996,-1.019690408,U,NULL,UR,NULL
931461,Yorkshire and The Humber,NULL,North Yorkshire,416000,503900,54.43027782,-1.754874407,U,NULL,UR,NULL
931462,Yorkshire and The Humber,NULL,North Yorkshire,390000,490600,54.31089744,-2.155202233,U,NULL,UR,NULL
931463,Yorkshire and The Humber,NULL,North Yorkshire,449530,432550,53.78692342,-1.249718768,U,NULL,UR,NULL
931464,Yorkshire and The Humber,NULL,North Yorkshire,464500,443000,53.87919711,-1.020349074,U,NULL,UR,NULL
931465,Yorkshire and The Humber,NULL,North Yorkshire,448740,443840,53.8884627,-1.259921927,U,NULL,UR,NULL
931466,Yorkshire and The Humber,NULL,North Yorkshire,480310,497140,54.36346431,-0.765539416,U,NULL,UR,NULL
931467,Yorkshire and The Humber,NULL,North Yorkshire,398220,447870,53.9269595,-2.028593378,U,NULL,UR,NULL
931468,Yorkshire and The Humber,NULL,North Yorkshire,421940,447370,53.92200931,-1.667411194,U,NULL,UR,NULL
931469,Yorkshire and The Humber,NULL,North Yorkshire,400010,502995,54.4223927,-2.001353488,U,NULL,UR,NULL
931470,North West,NULL,West Cheshire,338670,375360,53.27166547,-2.921094352,C,NULL,CU,NULL
931471,North West,NULL,East Cheshire,371630,356660,53.10637251,-2.425220372,C,NULL,CU,NULL
931472,North West,NULL,East Cheshire,389910,375890,53.27989062,-2.152785402,C,NULL,CU,NULL
931473,North West,NULL,East Cheshire,385390,382740,53.34135645,-2.220891873,C,NULL,CU,NULL
931474,North West,NULL,East Cheshire,383940,362660,53.16082097,-2.241649121,U,NULL,UU,NULL
931475,North West,NULL,East Cheshire,375610,361100,53.14648036,-2.366111153,U,NULL,UU,NULL
931476,North West,NULL,East Cheshire,369820,354870,53.09018298,-2.452086939,U,NULL,UU,NULL
931477,North West,NULL,East Cheshire,369440,357980,53.1181162,-2.458057796,U,NULL,UU,NULL
931478,North West,NULL,East Cheshire,379650,355890,53.09981896,-2.305377501,U,NULL,UU,NULL
931479,North West,NULL,West Cheshire,366040,372370,53.24725476,-2.510389929,U,NULL,UU,NULL
931480,North West,NULL,West Cheshire,363600,365180,53.18246574,-2.54613155,U,NULL,UU,NULL
931481,North West,NULL,West Cheshire,338760,367880,53.20444831,-2.918304519,U,NULL,UU,NULL
931482,North West,NULL,West Cheshire,338690,373760,53.25728763,-2.920485534,U,NULL,UU,NULL
931483,North West,NULL,East Cheshire,361040,349870,53.0446696,-2.582572403,C,NULL,CR,NULL
931484,North West,NULL,West Cheshire,348580,358300,53.1193848,-2.769758857,U,NULL,UR,NULL
931485,North West,NULL,East Cheshire,377270,383010,53.34349503,-2.342864642,C,NULL,CR,NULL
931486,North West,NULL,West Cheshire,352230,377960,53.2964319,-2.718175923,B5394,NULL,UR,NULL
931487,North West,NULL,West Cheshire,336060,360770,53.14022774,-2.957297304,C,NULL,CR,NULL
931488,North West,NULL,West Cheshire,351180,347910,53.02624103,-2.729333581,U,NULL,UR,NULL
931489,North West,NULL,West Cheshire,350250,350875,53.05280562,-2.743656802,C,NULL,CR,NULL
931490,North West,NULL,East Cheshire,376820,370050,53.22698362,-2.348673158,U,NULL,UR,NULL
931491,North West,NULL,West Cheshire,358960,371970,53.2431578,-2.616434346,U,NULL,UR,NULL
931492,North West,NULL,East Cheshire,356360,357440,53.11234981,-2.653403732,U,NULL,UR,NULL
931493,East of England,NULL,Norfolk,587030,283340,52.41607328,0.748707295,C587,NULL,CU,NULL
931494,East of England,NULL,Norfolk,653140,308430,52.61459062,1.737938951,C628,NULL,UU,NULL
931495,East of England,NULL,Norfolk,625360,309000,52.63193473,1.328762097,C596,NULL,CU,NULL
931496,East of England,NULL,Norfolk,564060,323600,52.78504388,0.431248463,U,NULL,UU,NULL
931497,East of England,NULL,Norfolk,618178,311423,52.65661419,1.224418301,C171,NULL,CU,NULL
931498,East of England,NULL,Norfolk,610730,302001,52.57498061,1.108475068,C700,NULL,UR,NULL
931499,East of England,NULL,Norfolk,559980,308830,52.65360454,0.363621583,C8,NULL,CR,NULL
931500,East of England,NULL,Norfolk,557731,320323,52.75749457,0.335911882,C80,NULL,CR,NULL
931501,East of England,NULL,Norfolk,619700,327510,52.80038254,1.257635775,C556,NULL,UR,NULL
931502,East of England,NULL,Norfolk,616903,338451,52.89971085,1.223488954,C301,NULL,CR,NULL
931503,East of England,NULL,Norfolk,604586,287276,52.44513116,1.008892664,C142,NULL,CR,NULL
931504,East of England,NULL,Norfolk,623521,288196,52.44597865,1.287644519,C201,NULL,CR,NULL
931505,East of England,NULL,Norfolk,624100,315560,52.69132963,1.314631993,C246,NULL,UR,NULL
931506,East of England,NULL,Norfolk,570522,331196,52.85126034,0.530929378,C88,NULL,UR,NULL
931507,East of England,NULL,Norfolk,578376,303669,52.60152503,0.632497175,C44,NULL,UR,NULL
931508,East of England,NULL,Norfolk,629476,327784,52.79877567,1.402574417,C397,NULL,UR,NULL
931509,Yorkshire and The Humber,NULL,East Riding of Yorkshire,503570,441400,53.85850341,-0.426779393,U,NULL,UU,NULL
931510,Yorkshire and The Humber,NULL,East Riding of Yorkshire,487810,441720,53.86427975,-0.666229031,U,NULL,UR,NULL
931511,Yorkshire and The Humber,NULL,East Riding of Yorkshire,504670,472820,54.14056556,-0.399267996,C,NULL,CR,NULL
931512,Yorkshire and The Humber,NULL,East Riding of Yorkshire,516560,439540,53.83904353,-0.230079346,C,NULL,CR,NULL
931513,Yorkshire and The Humber,NULL,East Riding of Yorkshire,490710,430830,53.76593147,-0.625350516,U,NULL,UR,NULL
931514,Yorkshire and The Humber,NULL,East Riding of Yorkshire,509700,440720,53.85113677,-0.333862228,C,NULL,CR,NULL
931515,Yorkshire and The Humber,NULL,East Riding of Yorkshire,525060,431300,53.76304924,-0.104319337,C,NULL,CR,NULL
931516,Yorkshire and The Humber,NULL,East Riding of Yorkshire,474945,439357,53.84505953,-0.862386373,U,NULL,UR,NULL
931517,Yorkshire and The Humber,NULL,East Riding of Yorkshire,479350,450130,53.94121058,-0.79266351,C,NULL,CR,NULL
931518,Yorkshire and The Humber,NULL,East Riding of Yorkshire,498970,433840,53.79147429,-0.499121606,U,NULL,UR,NULL
931519,North West,NULL,Cumbria,320460,470270,54.12211568,-3.218485284,C,NULL,CU,NULL
931520,North West,NULL,Cumbria,342270,554870,54.88523015,-2.901421764,C,NULL,CU,NULL
931521,North West,NULL,Cumbria,319000,500940,54.39746158,-3.249122717,C,NULL,CR,NULL
931522,North West,NULL,Cumbria,347590,568810,55.01107248,-2.821053481,C1012,NULL,CR,NULL
931523,North West,NULL,Cumbria,315383,548916,54.82790678,-3.318684761,C2012,NULL,CR,NULL
931524,North West,NULL,Cumbria,335630,533040,54.68827337,-3.000055705,C,NULL,CR,NULL
931525,North West,NULL,Cumbria,352720,533640,54.69556296,-2.735074008,C3002,NULL,CR,NULL
931526,North West,NULL,Cumbria,322780,473360,54.15023507,-3.183788671,U,NULL,UR,NULL
931527,North West,NULL,Cumbria,361320,542980,54.78022865,-2.60289872,C,NULL,CR,NULL
931528,North West,NULL,Cumbria,368440,513400,54.51491222,-2.489002899,C3057,NULL,UR,NULL
931529,North West,NULL,Cumbria,369870,487370,54.28107433,-2.464264803,C,NULL,CR,NULL
931530,North West,NULL,Cumbria,337870,478770,54.20090011,-2.953908176,C5040,NULL,UR,NULL
931531,North West,NULL,Cumbria,323290,476135,54.17524637,-3.1766895,U,NULL,UR,NULL
931532,North West,NULL,Cumbria,306282,515222,54.52358731,-3.449477816,C4004,NULL,UR,NULL
931533,North West,NULL,Cumbria,307648,531356,54.66878545,-3.433463675,C2007,NULL,UR,NULL
931534,North West,NULL,Cumbria,323940,553590,54.87127393,-3.186751253,C2040,NULL,UR,NULL
931535,Yorkshire and The Humber,NULL,Doncaster,456810,413650,53.61632548,-1.14269443,U,NULL,UR,NULL
931536,Yorkshire and The Humber,NULL,Doncaster,465000,396855,53.46443785,-1.022390197,U,NULL,UR,NULL
931537,Yorkshire and The Humber,NULL,Doncaster,459680,401640,53.50807068,-1.101604642,C,NULL,CU,NULL
931538,Yorkshire and The Humber,NULL,Doncaster,460990,406860,53.55483386,-1.080839946,U,NULL,UU,NULL
931539,Yorkshire and The Humber,NULL,Doncaster,455870,400650,53.49959087,-1.159221444,U,NULL,UU,NULL
931540,Yorkshire and The Humber,NULL,Doncaster,448260,400100,53.4953992,-1.274016694,U,NULL,UU,NULL
931541,Yorkshire and The Humber,NULL,Doncaster,450880,398640,53.48203099,-1.234763771,U,NULL,UU,NULL
931542,Yorkshire and The Humber,NULL,Doncaster,463060,405090,53.53868259,-1.049954588,U,NULL,UU,NULL
931543,Yorkshire and The Humber,NULL,Doncaster,460600,400680,53.4993379,-1.087919821,U,NULL,UU,NULL
931544,Yorkshire and The Humber,NULL,Doncaster,464650,411450,53.595647,-1.024652845,U,NULL,UU,NULL
931545,East of England,NULL,Cambridgeshire,527620,283340,52.43314969,-0.124244942,U,NULL,UR,NULL
931546,East of England,NULL,Cambridgeshire,548570,283550,52.42974968,0.183779177,C,NULL,CR,NULL
931547,East of England,NULL,Cambridgeshire,529450,245570,52.09334253,-0.111816644,C,NULL,CR,NULL
931548,East of England,NULL,Cambridgeshire,544240,266870,52.28105482,0.112979267,U,NULL,UR,NULL
931549,East of England,NULL,Cambridgeshire,541330,312760,52.6940866,0.089807214,C,NULL,CR,NULL
931550,East of England,NULL,Cambridgeshire,537750,294190,52.52817352,0.02914232,C,NULL,CR,NULL
931551,East of England,NULL,Cambridgeshire,517080,283090,52.43325978,-0.279287575,U,NULL,UR,NULL
931552,East of England,NULL,Cambridgeshire,536120,288210,52.47485597,0.002686989,C,NULL,CR,NULL
931553,East of England,NULL,Cambridgeshire,561150,251720,52.14027317,0.353440587,C,NULL,CR,NULL
931554,East of England,NULL,Cambridgeshire,531420,273410,52.34302928,-0.072275489,U,NULL,UU,NULL
931555,East of England,NULL,Cambridgeshire,548040,257760,52.1982022,0.164653511,C,NULL,CU,NULL
931556,East of England,NULL,Cambridgeshire,545480,261390,52.23149556,0.128783622,U,NULL,UU,NULL
931557,East of England,NULL,Cambridgeshire,547590,262700,52.24270354,0.160227345,U,NULL,UU,NULL
931558,East of England,NULL,Cambridgeshire,542380,295650,52.54010078,0.097969478,U,NULL,UU,NULL
931559,East of England,NULL,Cambridgeshire,525020,269810,52.31217595,-0.167506552,U,NULL,UU,NULL
931560,East of England,NULL,Cambridgeshire,531100,271760,52.32828036,-0.077613037,U,NULL,UU,NULL
931561,East of England,NULL,Cambridgeshire,517200,260240,52.2279008,-0.285481609,U,NULL,UU,NULL
931562,South East,NULL,Buckinghamshire,477775,188670,51.59152365,-0.878690359,C,NULL,CR,NULL
931563,South East,NULL,Buckinghamshire,483700,198120,51.67562428,-0.790924677,U,NULL,UR,NULL
931564,South East,NULL,Buckinghamshire,470000,233300,51.99374779,-0.981912484,C,NULL,CR,NULL
931565,South East,NULL,Buckinghamshire,480990,212310,51.80357794,-0.826809463,U,NULL,UU,NULL
931566,South East,NULL,Buckinghamshire,496830,200110,51.69140423,-0.600543436,U,NULL,UU,NULL
931567,South East,NULL,Buckinghamshire,489530,194960,51.64632151,-0.707441664,U,NULL,UU,NULL
931568,South East,NULL,Buckinghamshire,489320,190080,51.60248857,-0.711718752,C,NULL,CU,NULL
931569,South East,NULL,Buckinghamshire,488530,194180,51.63946821,-0.722087633,C,NULL,CU,NULL
931570,South East,NULL,Buckinghamshire,495900,197280,51.66612606,-0.614769977,C,NULL,CU,NULL
931571,South East,NULL,Buckinghamshire,480220,213370,51.81321727,-0.837729223,C,NULL,CU,NULL
931572,South East,NULL,Buckinghamshire,477320,220160,51.8746621,-0.878272054,C,NULL,CR,NULL
931573,South East,NULL,Buckinghamshire,466530,239190,52.04712105,-1.031299625,C,NULL,CR,NULL
931574,South East,NULL,Buckinghamshire,497420,191190,51.61112469,-0.594492412,C,NULL,CR,NULL
931575,South East,NULL,Buckinghamshire,493780,199430,51.6858091,-0.644837291,C,NULL,CR,NULL
931576,South West,NULL,Plymouth,246030,57200,50.39446709,-4.16756844,U,NULL,UU,NULL
931577,South West,NULL,Plymouth,250430,56510,50.38940276,-4.105434829,U,NULL,UU,NULL
931578,South West,NULL,Plymouth,255670,55610,50.3826246,-4.031425328,U,NULL,UU,NULL
931579,South West,NULL,Plymouth,245670,54890,50.3736133,-4.171680681,U,NULL,UU,NULL
931580,South West,NULL,Torbay,288800,62680,50.45338698,-3.56774561,C,NULL,CU,NULL
931581,South West,NULL,Somerset,321390,123790,51.00810302,-3.121837442,U,NULL,UU,NULL
931582,South West,NULL,Somerset,322890,126200,51.02997358,-3.100974738,U,NULL,UU,NULL
931583,South West,NULL,Somerset,314060,120360,50.97621676,-3.22547801,U,NULL,UR,NULL
931584,South West,NULL,Somerset,336530,114560,50.92698759,-2.904459014,U,NULL,UR,NULL
931585,South West,NULL,Somerset,350890,132240,51.08736239,-2.702553777,C,NULL,CR,NULL
931586,South West,NULL,Somerset,315300,137890,51.13399795,-3.211928264,C,NULL,CR,NULL
931587,South West,NULL,Somerset,307720,143090,51.17957104,-3.321568803,U,NULL,UR,NULL
931588,South West,NULL,Somerset,350280,138980,51.14791148,-2.712193894,U,NULL,UR,NULL
931590,South West,NULL,Somerset,322190,128660,51.05199568,-3.111484086,C,NULL,CR,NULL
931591,South West,NULL,Somerset,336810,137030,51.12904787,-2.904399994,C,NULL,CR,NULL
931592,South West,NULL,Somerset,290290,127000,51.03186049,-3.565939464,C,NULL,CR,NULL
931593,South West,NULL,Somerset,351310,118890,50.96736136,-2.694760122,C,NULL,CR,NULL
931594,South West,NULL,Dorset,367715,80785,50.62586765,-2.457787358,C920,NULL,CU,NULL
931595,South West,NULL,Dorset,368585,71600,50.54331823,-2.444709125,C927,NULL,UR,NULL
931596,South West,NULL,Dorset,374485,108820,50.87830763,-2.364030933,C20,NULL,CR,NULL
931597,South West,NULL,Dorset,363480,117140,50.9525281,-2.521281715,U,NULL,UR,NULL
931598,South West,NULL,Dorset,359235,92200,50.72798158,-2.57892869,C28,NULL,CR,NULL
931599,South West,NULL,Dorset,394450,95420,50.75834868,-2.080049478,C63,NULL,CR,NULL
931600,South West,NULL,Dorset,409325,108120,50.87250798,-1.868844105,U,NULL,UR,NULL
931601,South West,NULL,Dorset,335880,104585,50.8372276,-2.911953255,C17,NULL,CR,NULL
931602,South West,NULL,Dorset,340840,94245,50.74478387,-2.839855201,U,NULL,UR,NULL
931603,South West,NULL,Dorset,411520,103490,50.83083388,-1.837793423,U,NULL,UR,NULL
931604,South West,NULL,Dorset,403190,101145,50.80985064,-1.956092355,C50,NULL,CU,NULL
931605,South West,NULL,Dorset,407800,98200,50.7833248,-1.890725086,U,NULL,UU,NULL
931606,South West,NULL,Dorset,408725,102240,50.8196416,-1.877509434,C124,NULL,CR,NULL
931607,South West,NULL,Dorset,369250,89750,50.70656863,-2.43683497,U,NULL,UU,NULL
931608,South West,NULL,Dorset,368500,92245,50.72896437,-2.447669684,C12,NULL,CR,NULL
931609,South West,NULL,Dorset,348020,93415,50.73800928,-2.737983485,U,NULL,UU,NULL
931610,South West,NULL,Dorset,417055,92800,50.73456859,-1.759694128,C340,NULL,CU,NULL
931611,South West,NULL,Dorset,416745,94700,50.75166341,-1.764001043,C340,NULL,CU,NULL
931612,South West,NULL,Dorset,414025,94050,50.74588979,-1.802581987,C156,NULL,CU,NULL
931613,South West,NULL,Dorset,401200,100280,50.80207924,-1.984338655,U,NULL,UU,NULL
931614,South West,NULL,Dorset,382315,112015,50.90733234,-2.252895245,C14,NULL,CR,NULL
931615,South West,NULL,Dorset,363800,115260,50.93564348,-2.516538843,C11,NULL,CR,NULL
931616,South West,NULL,Cornwall excluding Isles of Scilly,202570,52860,50.34248929,-4.776053239,C768,NULL,CU,NULL
931617,South West,NULL,Cornwall excluding Isles of Scilly,225940,54320,50.36298237,-4.448623914,U,NULL,UR,NULL
931618,South West,NULL,Cornwall excluding Isles of Scilly,200260,76560,50.55458893,-4.821117242,C111,NULL,CR,NULL
931619,South West,NULL,Cornwall excluding Isles of Scilly,181587,56465,50.367454,-5.072612837,C3,NULL,CR,NULL
931620,South West,NULL,Cornwall excluding Isles of Scilly,171470,47260,50.28095813,-5.209066201,C294,NULL,CR,NULL
931621,South West,NULL,Cornwall excluding Isles of Scilly,173540,36730,50.18720112,-5.173768806,C83,NULL,CR,NULL
931622,South West,NULL,Cornwall excluding Isles of Scilly,160885,31324,50.13369,-5.347341767,C99,NULL,CR,NULL
931623,South West,NULL,Cornwall excluding Isles of Scilly,223030,115170,50.90880292,-4.518564115,C272,NULL,CR,NULL
931624,South West,NULL,Cornwall excluding Isles of Scilly,221540,91260,50.69354273,-4.528109897,C143,NULL,CR,NULL
931625,Yorkshire and The Humber,NULL,North East Lincolnshire,523230,403040,53.50961259,-0.143247468,C,NULL,CR,NULL
931626,Yorkshire and The Humber,NULL,North East Lincolnshire,518760,415040,53.61844698,-0.206058573,U,NULL,UU,NULL
931627,Yorkshire and The Humber,NULL,North East Lincolnshire,526010,409860,53.57022124,-0.098608254,U,NULL,UU,NULL
931628,Yorkshire and The Humber,NULL,North East Lincolnshire,530990,407410,53.54699459,-0.02447979,U,NULL,UU,NULL
931629,Yorkshire and The Humber,NULL,North East Lincolnshire,529070,409360,53.56498663,-0.052634879,U,NULL,UU,NULL
931630,Yorkshire and The Humber,NULL,North East Lincolnshire,523570,409250,53.565321,-0.135673858,U,NULL,UU,NULL
931631,South West,NULL,Devon,301290,82230,50.63138409,-3.397052233,C,NULL,CU,NULL
931632,South West,NULL,Devon,294130,74250,50.55838778,-3.495977697,C139,NULL,CR,NULL
931633,South West,NULL,Devon,246320,126160,51.01423079,-4.192214119,C470,NULL,CR,NULL
931634,South West,NULL,Devon,312260,89120,50.69508619,-3.243621029,C656,NULL,CU,NULL
931635,South West,NULL,Devon,283860,71910,50.53540041,-3.640173642,U,NULL,CR,NULL
931636,South West,NULL,Devon,262780,56490,50.39223739,-3.931803141,U,NULL,UR,NULL
931637,South West,NULL,Devon,278900,41890,50.26453841,-3.700443917,C84,NULL,CR,NULL
931638,South West,NULL,Devon,282670,49790,50.33631799,-3.650028477,C,NULL,CR,NULL
931639,South West,NULL,Devon,292800,81460,50.62296097,-3.516829047,C803,NULL,CR,NULL
931640,South West,NULL,Devon,322200,103190,50.82300524,-3.105894711,C28,NULL,CR,NULL
931641,South West,NULL,Devon,307090,112500,50.90447219,-3.322722329,C805,NULL,CR,NULL
931642,South West,NULL,Devon,272740,129000,51.04621456,-3.816796177,C466,NULL,UR,NULL
931643,South West,NULL,Devon,263370,136910,51.11514694,-3.953375918,C459,NULL,UR,NULL
931644,South West,NULL,Devon,248250,143100,51.16696054,-4.171843447,C797,NULL,UR,NULL
931645,South West,NULL,Devon,227000,124110,50.99032385,-4.466401799,B3248,NULL,UR,NULL
931646,South West,NULL,Devon,240850,94080,50.72448998,-4.256163347,C,NULL,CR,NULL
931647,South West,NULL,Devon,247130,67770,50.48974419,-4.156418568,C,NULL,CR,NULL
931648,South West,NULL,Devon,277000,52410,50.35871183,-3.730519559,B3207,NULL,UR,NULL
931649,South West,NULL,Devon,289995,53415,50.3703215,-3.548201392,B3205,NULL,UR,NULL
931650,South West,NULL,Devon,279768,59503,50.42304506,-3.69389564,C44,NULL,CR,NULL
931651,South West,NULL,Devon,270300,74100,50.55223286,-3.83217882,C230,NULL,CR,NULL
931652,South West,NULL,Devon,282350,100250,50.7898453,-3.670488607,C507,NULL,CR,NULL
931653,South West,NULL,Devon,285842,108281,50.86273402,-3.623471272,C48,NULL,CR,NULL
931654,South West,NULL,Devon,243990,106990,50.84134941,-4.217195103,C462,NULL,UR,NULL
931655,South West,NULL,Devon,244420,83410,50.62957602,-4.201133003,U,NULL,UR,NULL
931656,East Midlands,NULL,Lincolnshire,505097,372089,53.23544491,-0.426837654,C004,NULL,UR,NULL
931657,East Midlands,NULL,Lincolnshire,501240,379920,53.30655952,-0.482112353,U,NULL,UR,NULL
931658,East Midlands,NULL,Lincolnshire,526380,393590,53.42397168,-0.099572418,C615,NULL,CR,NULL
931659,East Midlands,NULL,Lincolnshire,496510,366820,53.18972569,-0.557037804,C,NULL,CU,NULL
931660,East Midlands,NULL,Lincolnshire,510750,312710,52.70074782,-0.36246945,C,NULL,CR,NULL
931661,East Midlands,NULL,Lincolnshire,549390,364100,53.15308826,0.232581295,C561,NULL,UR,NULL
931662,East Midlands,NULL,Lincolnshire,502024,307951,52.65969353,-0.493025722,U,NULL,UU,NULL
931663,East Midlands,NULL,Lincolnshire,547820,321260,52.7687114,0.18958782,U,NULL,UR,NULL
931664,East Midlands,NULL,Lincolnshire,538160,348150,53.01283436,0.057920394,U,NULL,UR,NULL
931665,East Midlands,NULL,Lincolnshire,549620,382890,53.32179418,0.244833717,C588,NULL,CR,NULL
931666,East Midlands,NULL,Lincolnshire,534130,387410,53.36654496,0.014356774,U,NULL,UR,NULL
931667,East Midlands,NULL,Lincolnshire,525920,384520,53.3425996,-0.110103165,U,NULL,UR,NULL
931668,East Midlands,NULL,Lincolnshire,508820,339090,52.93818604,-0.382239361,C,NULL,CR,NULL
931669,East Midlands,NULL,Lincolnshire,533510,343950,52.97628121,-0.013077746,U,NULL,UU,NULL
931670,East Midlands,NULL,Lincolnshire,521270,352510,53.05609572,-0.192052421,C761,NULL,CR,NULL
931671,East Midlands,NULL,Lincolnshire,493610,357700,53.10828856,-0.60308843,C,NULL,CR,NULL
931672,East Midlands,NULL,Lincolnshire,514840,393370,53.4246311,-0.273227207,C,NULL,CR,NULL
931673,East Midlands,NULL,Lincolnshire,544820,376000,53.2612399,0.169688329,U,NULL,UR,NULL
931674,Wales,NULL,Conwy,280430,380170,53.304938,-3.795851543,C,NULL,CR,NULL
931675,Wales,NULL,Conwy,278470,381270,53.31437415,-3.825670843,C,NULL,CU,NULL
931676,Wales,NULL,Conwy,279720,378340,53.28833597,-3.805806848,U,NULL,UU,NULL
931677,Wales,NULL,Conwy,268440,375280,53.25816517,-3.973648031,U,NULL,UR,NULL
931678,Wales,NULL,Conwy,277160,347980,53.014985,-3.83253297,C,NULL,CR,NULL
931679,Wales,NULL,Conwy,288860,377580,53.28350446,-3.668495926,U,NULL,UR,NULL
931680,Wales,NULL,Denbighshire,306140,377700,53.28792729,-3.40943527,C,NULL,CR,NULL
931681,Wales,NULL,Denbighshire,302230,335280,52.90602986,-3.455144287,C,NULL,CR,NULL
931682,Wales,NULL,Denbighshire,299550,375960,53.27108316,-3.507703676,U,NULL,UR,NULL
931683,Wales,NULL,Denbighshire,321820,341410,52.96433353,-3.165422701,U,NULL,UR,NULL
931684,Wales,NULL,Flintshire,323220,363970,53.16728864,-3.149972903,U,NULL,UU,NULL
931685,Wales,NULL,Flintshire,330230,361670,53.14758385,-3.044631436,U,NULL,UR,NULL
931686,Wales,NULL,Flintshire,323900,359350,53.12586573,-3.13870413,C,NULL,CR,NULL
931687,Wales,NULL,Flintshire,327990,363740,53.16588911,-3.078583081,U,NULL,UU,NULL
931688,Wales,NULL,Flintshire,317950,364760,53.17360105,-3.228988151,C,NULL,CR,NULL
931689,Wales,NULL,Flintshire,328440,369400,53.21681797,-3.073123041,U,NULL,UU,NULL
931690,Wales,NULL,Flintshire,319250,375980,53.27463217,-3.212389314,U,NULL,UR,NULL
931691,Wales,NULL,Flintshire,324530,366010,53.18581,-3.130863615,U,NULL,UR,NULL
931692,Wales,NULL,Flintshire,327040,360070,53.13277618,-3.091953082,U,NULL,UR,NULL
931694,Wales,NULL,Powys,283960,255170,52.18253659,-3.698640442,C0002,NULL,CR,NULL
931695,Wales,NULL,Powys,306510,261140,52.2404813,-3.370585163,C1339,NULL,UR,NULL
931696,Wales,NULL,Powys,322112,296225,52.558267,-3.150322067,C2008,NULL,UR,NULL
931699,Wales,NULL,Powys,310810,294080,52.53725172,-3.316410722,C2011,NULL,CR,NULL
931700,Wales,NULL,Powys,322410,307920,52.66342374,-3.148675601,U,NULL,UR,NULL
