CP,region,code,Local_athority,S Ref E,S Ref N,S Ref Latitude,S Ref Longitude,Road,Road.Name,RCat,CP.Location
941790,East of England,NULL,Norfolk,573009,330704,52.84604946,0.567562107,C,NULL,CR,NULL
941794,East of England,NULL,Norfolk,625504,336823,52.8815655,1.350007726,CU,NULL,UR,NULL
941798,East of England,NULL,Norfolk,639378,312629,52.65850116,1.538122418,C427,NULL,CR,NULL
941802,East of England,NULL,Norfolk,580167,329049,52.82884358,0.6728143,U,NULL,UR,NULL
941803,East of England,NULL,Norfolk,550705,312842,52.69229801,0.228454882,U,NULL,UR,NULL
941804,East of England,NULL,Norfolk,636051,326945,52.78841377,1.499306696,U,NULL,UR,NULL
941806,East of England,NULL,Norfolk,575830,315732,52.71068517,0.601370884,C65,NULL,CR,NULL
941808,East of England,NULL,Norfolk,590168,325402,52.79266596,0.818949976,U,NULL,UR,NULL
941810,East of England,NULL,Norfolk,582091,338173,52.91012511,0.706435432,C98,NULL,CR,NULL
941812,East of England,NULL,Norfolk,609141,286371,52.43528413,1.075245971,C207,NULL,CR,NULL
941814,East of England,NULL,Norfolk,600330,323975,52.776182,0.968575525,U,NULL,UR,NULL
941816,East of England,NULL,Norfolk,644392,295127,52.49923886,1.599204611,U,NULL,UR,NULL
941818,East of England,NULL,Norfolk,573163,300796,52.5774079,0.554104261,C44,NULL,CR,NULL
941820,East of England,NULL,Norfolk,598420,338822,52.9101759,0.949323984,C316,NULL,CR,NULL
941822,East of England,NULL,Norfolk,629522,304871,52.59313863,1.387285268,C202,NULL,CR,NULL
941824,East of England,NULL,Norfolk,549088,309258,52.66055004,0.202927769,U,NULL,UR,NULL
941825,East of England,NULL,Norfolk,621247,329571,52.81824778,1.281937448,C298,NULL,CR,NULL
941826,East of England,NULL,Norfolk,639653,300049,52.54550416,1.533075859,C386,NULL,CR,NULL
941828,East of England,NULL,Norfolk,570811,319626,52.7472623,0.529178454,C,NULL,CR,NULL
941830,East of England,NULL,Norfolk,610637,305156,52.60333763,1.109110237,C175,NULL,CR,NULL
941832,East of England,NULL,Norfolk,631072,288182,52.44271504,1.398537686,U,NULL,UR,NULL
941834,East of England,NULL,Norfolk,639111,294544,52.49634647,1.521142486,U,NULL,UR,NULL
941838,East of England,NULL,Norfolk,582492,342462,52.94850092,0.714801365,C99,NULL,CR,NULL
941840,East of England,NULL,Norfolk,613186,299560,52.55211324,1.143093203,U,NULL,UR,NULL
941842,East of England,NULL,Norfolk,614465,329187,52.81753923,1.181210187,C,NULL,CR,NULL
941844,East of England,NULL,Norfolk,607610,315312,52.6956701,1.070865307,U,NULL,UR,NULL
941846,East of England,NULL,Norfolk,596023,311224,52.66328212,0.897210553,C196,NULL,CR,NULL
941847,East of England,NULL,Norfolk,579329,340705,52.93378933,0.666807982,C,NULL,CR,NULL
941848,East of England,NULL,Norfolk,606904,308649,52.63612725,1.056254754,C,NULL,CR,NULL
941852,East of England,NULL,Norfolk,639528,327181,52.78900082,1.550937717,C643,NULL,CR,NULL
941854,East of England,NULL,Norfolk,610926,304020,52.59302831,1.112647684,U,NULL,UR,NULL
941856,East of England,NULL,Norfolk,613496,321206,52.74628776,1.16165351,C,NULL,CR,NULL
941858,East of England,NULL,Norfolk,587730,310735,52.66182382,0.774461377,C,NULL,CR,NULL
941860,East of England,NULL,Norfolk,597848,305634,52.61243271,0.920812219,C,NULL,CR,NULL
941862,East of England,NULL,Norfolk,608929,297251,52.5330348,1.078949605,U,NULL,UR,NULL
941864,East of England,NULL,Norfolk,595778,318007,52.72426932,0.89762493,C,NULL,CR,NULL
941866,East of England,NULL,Norfolk,572807,307286,52.63580676,0.552243974,C,NULL,CR,NULL
941868,East of England,NULL,Norfolk,581188,316559,52.71634592,0.681047632,C,NULL,CR,NULL
941869,East of England,NULL,Norfolk,641039,299134,52.53668301,1.552810947,U,NULL,UR,NULL
941870,East of England,NULL,Norfolk,629826,328462,52.8047109,1.408232416,U,NULL,UR,NULL
941872,East of England,NULL,Norfolk,635187,333262,52.84547158,1.491062977,C643,NULL,CU,NULL
941874,East of England,NULL,Norfolk,604014,294769,52.51261403,1.005072015,C572,NULL,CU,NULL
941876,East of England,NULL,Norfolk,619446,305655,52.6043333,1.239304707,C184,NULL,CU,NULL
941878,East of England,NULL,Norfolk,624317,323032,52.7582972,1.322935636,C245,NULL,CU,NULL
