year,CP,estimation_method,estimation_method_detailed,fd_pc,fd_2WMV,fd_Car,fd_Bus,fd_lgv,fd_HGVR2,fd_HGVR3,fd_HGVR4,fd_hgva3,fd_hgva5,fd_hgva6,fd_hgv,fd_all_mv
2016,73628,Estimated,Estimated using previous year's AADF on this link,18,60,8087,99,1200,240,87,159,27,165,554,1232,10678
2016,73629,Counted,Automatic counter,7.34,654,79141,302,17356,4568,589,656,985,8687,7410,22895,120348
2016,73630,Estimated,Estimated using previous year's AADF on this link,66,66,12262,92,1434,108,2,5,4,3,6,129,13983
2016,73631,Estimated,Estimated using previous year's AADF on this link,2,101,9370,121,2610,418,58,83,33,178,222,993,13194
2016,73632,Counted,Manual count,58,120,23595,203,3073,369,42,44,35,52,47,590,27581
2016,73633,Counted,Dependent on a neighbouring counted link,149,331,37580,395,5146,831,99,190,33,280,333,1765,45218
2016,73635,Estimated,Estimated using previous year's AADF on this link,62,144,11448,116,1689,244,52,30,20,40,59,445,13842
2016,73636,Counted,Dependent on a neighbouring counted link,148,742,50846,306,8350,901,187,337,72,323,274,2095,62340
2016,73637,Estimated,Estimated using previous year's AADF on this link,122.84,1024,116929,807,21742,2312,361,852,222,1079,1029,5855,146357
2016,73638,Estimated,Estimated using previous year's AADF on this link,138.7,987,164892,682,31219,5324,811,857,422,2918,5613,15946,213726
2016,73640,Estimated,Estimated using previous year's AADF on this link,3621,1774,15312,1466,4387,378,57,72,10,20,8,546,23486
2016,73641,Estimated,Estimated using previous year's AADF on this link,2077,1607,15853,256,1654,136,51,37,11,2,30.43,237,19606
2016,73642,Estimated,Estimated using previous year's AADF on this link,3305,1599,24781,1721,2896,472,40,38,6,4,9,570,31568
2016,73644,Estimated,Estimated using previous year's AADF on this link,80,119,9664,174,1547,195,19,18,15,29,53,329,11834
2016,73645,Estimated,Estimated using previous year's AADF on this link,23.63,255,49143,223,11452,1356,363,374,253,1171,3014,6530,67602
2016,73646,Estimated,Estimated using previous year's AADF on this link,42.75,417,64010,291,14005,1537,293,434,208,1705,3388,7565,86288
2016,73647,Counted,Dependent on a neighbouring counted link,77,303,34846,163,4529,233,30,65,15,28,28,397,40238
2016,73648,Counted,Dependent on a neighbouring counted link,12.66,580,73833,195,15703,1806,299,632,338,3608,2175,8857,99167
2016,73649,Estimated,Estimated using previous year's AADF on this link,10,156,16118,22,3052,700,81,174,128,203,296,1583,20930
2016,73650,Estimated,Estimated using previous year's AADF on this link,45.09,585,69473,286,17852,2836,342,682,367,2208,3568,10004,98200
2016,73651,Counted,Dependent on a neighbouring counted link,24,178,11670,94,2477,99,20,10,19,12,13,173,14592
2016,73652,Estimated,Estimated using previous year's AADF on this link,20,52,5903,60,1081,37,17,6,5,2,5,71,7168
2016,73653,Counted,Dependent on a neighbouring counted link,45.21,376,38056,107,7970,869,201,527,75,427,1042,3142,49650
2016,73655,Estimated,Estimated using previous year's AADF on this link,21.88,559,96876,300,22667,4790,490,596,659,3928,5639,16102,136504
2016,73656,Counted,Dependent on a neighbouring counted link,37,1835,59050,418,11218,634,126,207,89,151,122,1330,73851
2016,73657,Estimated,Estimated using previous year's AADF on this link,219,355,19145,247,2434,113,45,109,5,2,9,283,22464
2016,73658,Estimated,Estimated using previous year's AADF on this link,666,3299,68812,930,10701,643,101,243,42,111,91,1231,84974
